Horizontal Stem List for master_otf/Radio-Canada-CondensedBold.otf on Sun Jul  2 14:33:14 2017
Count	Width	Glyph List
1	141	['seven.pl']
1	143	['seven']
1	344	['quotedbl']
1	20	['germandbls']
1	220	['yen']
1	255	['cent']
1	178	['gem']
1	253	['cent']
1	181	['Hbar']
1	88	['registered']
1	60	['estimated']
1	197	['ogonek']
1	200	['numero']
1	77	['ordfeminine']
1	83	['eth']
1	216	['dollar']
1	90	['registered']
1	219	['dollar']
1	92	['twosuperior']
1	103	['trademark']
1	116	['Hbar']
1	124	['pi']
