#KPL:P: upper-lower
Thorn napostrophe
Thorn tbar
a j
o j
c j
l j
dcaron j
e j
f j
i j
u j
n j
k j
lcaron j
r j
s j
t j
v j
x j
z j
germandbls j
eth j
dcroat j
ldot j
lslash j
tbar j
a.alt j
u.alt j
a J.alt
c J.alt
dcaron J.alt
e J.alt
f J.alt
i J.alt
k J.alt
l J.alt
lcaron J.alt
n J.alt
o J.alt
r J.alt
s J.alt
t J.alt
u J.alt
v J.alt
x J.alt
z J.alt
germandbls J.alt
eth J.alt
dcroat J.alt
ldot J.alt
lslash J.alt
tbar J.alt
a.alt J.alt
u.alt J.alt
