0	.notdef	
275	ycircumflex	0177	
276	Ytilde	1EF8	
277	ytilde	1EF9	
278	Ydieresis	0178	
279	ydieresis	00FF	
280	Ymacron	0232	
281	ymacron	0233	
282	Zacute	0179	
283	zacute	017A	
284	Zcaron	017D	
285	zcaron	017E	
286	Zdotaccent	017B	
287	zdotaccent	017C	
288	IJ	0132	
289	ij	0133	
290	IJacute	E133	making Dutch look better
291	ijacute	E132	making Dutch look better
292	Schwa	018F	
293	schwa	0259	
294	f_f	FB00	
295	fi	FB01	
296	f_i	 included for legacy reasons
297	fl	FB02	
298	f_l	 included for legacy reasons
299	f_ij	EB01	making Dutch look better
300	f_f_i	FB03	
301	f_f_l	FB04	
302	f_f_ij	EB03	making Dutch look better
303	ampersand	0026	
304	at	0040	
305	asterisk	002A	
306	copyright	00A9	
307	registered	00AE	
308	trademark	2122	
309	asciicircum	005E	
310	asciitilde	007E	
311	grave	0060	
312	gravecap	 used for constructing accented capitals
313	acute	00B4	
314	acutecap	 used for constructing accented capitals
315	circumflex	02C6	
316	circumflexcap	 used for constructing accented capitals
317	caron	02C7	
318	caroncap	 used for constructing accented capitals
319	caronalt	
320	tilde	02DC	
321	tildecap	 used for constructing accented capitals
322	dieresis	00A8	
323	dieresiscap	 used for constructing accented capitals
324	macron	00AF	
325	macroncap	 used for constructing accented capitals
326	uni02C9	02C9	
327	breve	02D8	
328	brevecap	 used for constructing accented capitals
329	ring	02DA	
330	ringcap	 used for constructing accented capitals
331	hungarumlaut	02DD	
332	hungarumlautcap	 used for constructing accented capitals
333	dotaccent	02D9	
334	dotaccentcap	 used for constructing accented capitals
335	cedilla	00B8	
336	dotbelowcomb	0323	
337	ogonek	02DB	
338	commaaccent	0326	
339	commaaccentalt	
340	uni00AD	00AD	
341	hyphen	002D	
342	endash	2013	
343	emdash	2014	
344	underscore	005F	
345	period	002E	
346	comma	002C	
347	colon	003A	
348	semicolon	003B	
349	exclam	0021	
350	exclamdown	00A1	
351	question	003F	
352	questiondown	00BF	
353	ellipsis	2026	
354	periodcentered	00B7	
355	uni2219	2219	
356	bullet	2022	
357	slash	002F	
358	backslash	005C	
359	bar	007C	
360	brokenbar	00A6	
361	parenleft	0028	
362	parenright	0029	
363	bracketleft	005B	
364	bracketright	005D	
365	braceleft	007B	
366	braceright	007D	
367	quotesingle	0027	
368	quotedbl	0022	
369	quoteleft	2018	
370	quoteright	2019	
371	quotedblleft	201C	
372	quotedblright	201D	
373	quotesinglbase	201A	
374	quotedblbase	201E	
375	guilsinglleft	2039	
376	guilsinglright	203A	
377	guillemotleft	00AB	
378	guillemotright	00BB	
379	paragraph	00B6	
380	uniF8FF	F8FF	
381	numbersign	0023	
382	zero	0030	
383	one	0031	
384	two	0032	
385	three	0033	
386	four	0034	
387	five	0035	
388	six	0036	
389	seven	0037	
390	eight	0038	
391	nine	0039	
392	zeroslash	 zero with a slash
393	fraction	2044	
394	uni2215	2215	
395	onequarter	00BC	
396	onehalf	00BD	
397	threequarters	00BE	
398	degree	00B0	
399	percent	0025	
400	perthousand	2030	
401	plus	002B	
402	minus	2212	
403	plusminus	00B1	
404	equal	003D	
405	notequal	2260	
406	approxequal	2248	
407	multiply	00D7	
408	less	003C	
409	greater	003E	
410	lessequal	2264	
411	greaterequal	2265	
412	divide	00F7	
413	logicalnot	00AC	
414	dagger	2020	
415	daggerdbl	2021	
416	section	00A7	
417	Euro	20AC	
418	currency	00A4	
419	dollar	0024	
420	cent	00A2	
421	florin	0192	
422	sterling	00A3	
423	yen	00A5	
424	onesuperior	00B9	
425	twosuperior	00B2	
426	threesuperior	00B3	
427	ordfeminine	00AA	
428	ordmasculine	00BA	
429	uni2116	2116	
430	Delta	2206	
431	Deltagreek	0394	
432	Omega	2126	
433	Omegagreek	03A9	
434	mu	00B5	
435	mugreek	03BC	
436	pi	03C0	
437	uni2113	2113	
438	estimated	212E	
439	infinity	221E	
440	partialdiff	2202	
441	integral	222B	
442	radical	221A	
443	summation	2211	
444	product	220F	
445	lozenge	25CA 
