Horizontal Stem List for master_otf/Radio-Canada-BoldItalic.otf on Tue May 16 10:07:27 2017
Count	Width	Glyph List
4	368	['R', 'Racute', 'Rcaron', 'Rcedilla']
3	130	['Omega', 'ohm', 'sterling']
3	280	['commaaccent', 'commaaccent.alt', 'gcedilla']
3	90	['registered', 'threesuperior', 'twosuperior']
3	315	['dagger', 'daggerdbl']
3	357	['quotedblbase', 'quotedblleft', 'quotedblright']
2	129	['B']
2	386	['three', 'three.pl']
2	145	['seven', 'seven.pl']
2	412	['H', 'Hcircumflex']
2	418	['H', 'Hcircumflex']
2	167	['four', 'four.pl']
2	284	['numbersign']
2	170	['gem']
2	240	['Thorn']
2	178	['gem']
2	248	['four', 'four.pl']
2	85	['eth', 'onesuperior']
2	87	['gem']
2	345	['quotedbl', 'quotesingle']
2	400	['onesuperior', 'trademark']
2	105	['dcroat', 'hbar']
2	365	['brokenbar']
2	121	['hyphen', 'underscore']
2	253	['cent', 'plusminus']
1	905	['paragraph']
1	144	['ampersand']
1	750	['backslash']
1	410	['yen']
1	1029	['Ncedilla']
1	549	['M']
1	31	['germandbls']
1	430	['exclam']
1	180	['quotedblleft']
1	184	['Hbar']
1	442	['asciicircum']
1	159	['Eng']
1	60	['estimated']
1	302	['plus']
1	864	['ncedilla']
1	450	['exclamdown']
1	197	['ogonek']
1	457	['question']
1	230	['threesuperior']
1	205	['Lcaron']
1	95	['ipa:schwa']
1	220	['yen']
1	124	['Hbar']
1	88	['registered']
1	335	['Ebreve']
1	476	['questiondown']
1	96	['cedilla']
1	408	['Hbar']
1	227	['dollar']
1	100	['trademark']
1	229	['dollar']
1	358	['divide']
1	519	['paragraph']
1	187	['M']
1	255	['cent']
1	380	['Tbar']
